SAMPLE_ID,USP29_NM_020903_cg07499372,SPO11_NM_198265_NM_012444_cg13888886,RARA_NM_000964_cg00236832,DNASE1L2_NM_001374_cg12619509,TMEM55A_NM_018710_cg06688396,ZIM2_NM_001146327_NM_001146326_NM_015363_cg16519742,CYB5A_NM_001914_NM_148923_cg10878998,GNG11_NM_004126_cg22983529,NCALD_NM_001040630_NM_001040627_NM_001040626_NM_001040625_NM_001040624_NM_001040629_NM_001040628_NM_032041_cg17084151,BCAM_NM_001013257_NM_005581_cg08319238,RARB_NM_016152_NM_000965_cg27486427,PCDHB2_NM_018936_cg02260587,MAP3K6_NM_004672_cg20651453,GABRQ_NM_018558_cg11714014,GDF15_NM_004864_cg16929104,F2RL2_IQGAP2_NM_006633_NM_004101_cg00415993,CALD1_NM_033138_NM_004342_NM_033157_cg14009688,ENTPD3_NM_001248_cg17264618,PAMR1_NM_015430_NM_001001991_cg14542839,FLJ34503_NR_027060_cg19815376,LRRN4CL_NM_203422_cg15538427,TGFB1I1_NM_015927_NM_001164719_NM_001042454_cg10995380,FCGRT_NM_004107_NM_001136019_cg15528736,AP1G2_JPH4_NM_001146028_NM_032452_NM_003917_cg25832796,NRIP2_NM_031474_cg05194726,TSSK2_DGCR14_NM_053006_NM_022719_cg25759381,KRTAP1-1_NM_030967_cg24414383,TFPI_NM_006287_NM_001032281_cg16478145,COL3A1_NM_000090_cg20770175,FBXO44_FBXO2_NM_183412_NM_012168_cg15746187,EMP2_NM_001424_cg00451635,GPR64_NM_001079858_NM_001079859_NM_005756_NM_001079860_cg17119559,FBXO44_FBXO2_NM_183412_NM_183413_NM_033182_NM_012168_NM_001014765_cg06848073,STMN4_NM_030795_cg02130905,SULT1C2_NM_001056_NM_176825_cg23163573,DISP1_NM_032890_cg10942056,KBTBD10_NM_006063_cg05389024,RXFP4_NM_181885_cg08403419,PRELP_NM_201348_NM_002725_cg05955301,CLDN9_NM_020982_cg10282491,PAM_NM_138821_NM_000919_NM_138766_NM_138822_cg20131596,EFS_NM_032459_NM_005864_cg07197059,CLASS
TCGA-4Z-AA84-01,0.784439783,0.638986072,0.021139772,0.631160591,0.098094795,0.652476196,0.132587516,0.088106745,0.025312328,0.17969593,0.284879804,0.543993311,0.060273406,0.622155116,0.209904354,0.162280178,0.238645098,0.165520503,0.249593154,0.724353553,0.584181399,0.066235955,0.215947343,0.99336727,0.159356211,0.845430553,0.85541152,0.858132623,0.229790147,0.732828571,0.355602759,0.91675967,0.382371304,0.393527597,0.618706833,0.823035282,0.538282521,0.873689805,0.669529799,0.273887434,0.136234241,0.558190213,2
TCGA-4Z-AA86-01,0.972426075,0.81000926,0.219128331,0.417971257,0.221435999,0.756323227,0.234793606,0.221593818,0.892302057,0.246103726,0.391707624,0.365567026,0.426220424,0.276617423,0.397274785,0.298732593,0.447582183,0.392337653,0.153974408,0.529600379,0.612526365,0.249671612,0.376295755,0.492957462,0.35677791,0.841476154,0.887694279,0.908587784,0.638985897,0.516928078,0.571899507,0.687673259,0.613772592,0.538903996,0.82859386,0.938267476,0.847468118,0.808549335,0.960326017,0.674995779,0.542470649,0.430135834,1
TCGA-4Z-AA87-01,0.815545155,0.6638213,0.16567264,0.789564853,0.128435935,0.47838426,0.173205638,0.133779192,0.021453155,0.183936958,0.395405021,0.738611531,0.239879647,0.15534231,0.312967668,0.435843213,0.156470934,0.088441854,0.114816299,0.558216942,0.565127919,0.068323689,0.625424434,0.296223125,0.449398924,0.733849853,0.948669349,0.916881419,0.319303567,0.458114206,0.559191125,0.347090077,0.247985124,0.355290525,0.448914889,0.45500243,0.302966344,0.51550001,0.31644937,0.511865565,0.271072225,0.267536259,1
TCGA-4Z-AA89-01,0.918276857,0.784344531,0.030986946,0.247977346,0.144388915,0.842697816,0.078534525,0.0759917,0.073048122,0.095012104,0.0264706,0.854178537,0.126241558,0.029690142,0.206338851,0.027175237,0.038354633,0.035135642,0.070153961,0.18007172,0.194109561,0.081670899,0.28528628,0.110567312,0.023919319,0.572969922,0.623221743,0.341460611,0.318388165,0.044940445,0.251096029,0.246062824,0.215645256,0.220974011,0.192981216,0.493321544,0.127813974,0.19215946,0.235515764,0.299883142,0.146020679,0.146689223,1
TCGA-5N-A9KI-01,0.679347427,0.584019441,0.787916761,0.666478316,0.03851434,0.690403941,0.104131539,0.085463877,0.071798516,0.057078164,0.4977893,0.314146736,0.087344231,0.427394264,0.126683324,0.823178573,0.030658077,0.065921479,0.033503766,0.782066399,0.382364956,0.01045209,0.3274304,0.708571679,0.423534837,0.779522639,0.961428107,0.825251119,0.330876277,0.416762166,0.178717617,0.44184071,0.309035088,0.561424955,0.265899303,0.252661115,0.764501861,0.307470462,0.176959923,0.696453151,0.11532405,0.616504136,1
TCGA-5N-A9KM-01,0.92989695,0.823706993,0.039860323,0.243205551,0.21089223,0.91506088,0.160702797,0.116085402,0.094887957,0.134349838,0.218143817,0.546175349,0.218238326,0.493557937,0.136570484,0.264169537,0.157057291,0.096082498,0.096452286,0.5152298,0.427057219,0.057289815,0.238258492,0.236344819,0.161959094,0.767079501,0.775733713,0.916486273,0.19761264,0.294289706,0.318454753,0.480355446,0.286391881,0.305810804,0.233869069,0.827958675,0.586111345,0.337719449,0.304284261,0.260164518,0.356725619,0.245386937,1
TCGA-BL-A0C8-01,0.899877089,0.694501659,0.040079756,0.709559075,0.072784223,0.890357359,0.149969372,0.228918206,0.051960589,0.850963329,0.527870018,0.593803424,0.106548132,0.689605065,0.239772491,0.359844352,0.129072731,0.310708225,0.080825549,0.345492158,0.651278817,0.024112661,0.496908866,0.369937178,0.830960985,0.624181706,0.951168203,0.884999729,0.263633522,0.750517953,0.489997741,0.960709779,0.427500157,0.453261497,0.331506968,0.64695238,0.563131838,0.525353444,0.619109408,0.772542563,0.343735319,0.325843805,1
TCGA-BL-A13I-01,0.734480516,0.867278803,0.301161992,0.585647136,0.145949165,0.497088929,0.383911174,0.037085149,0.31104563,0.351388924,0.083049368,0.217388988,0.348936646,0.519642021,0.512117201,0.326387727,0.372135377,0.283672379,0.178176771,0.42939994,0.508463676,0.144093679,0.659839401,0.351431237,0.789468277,0.79816616,0.874345543,0.81225932,0.727922179,0.842934905,0.579927791,0.456364901,0.814413054,0.568634142,0.66415462,0.709187399,0.674590329,0.795548905,0.933757631,0.635200478,0.394675442,0.488164779,1
TCGA-BL-A13J-01,0.932177375,0.784683057,0.038835892,0.220201184,0.140432295,0.858047005,0.125505456,0.059936408,0.039896452,0.239770907,0.425225117,0.700351021,0.1114189,0.12327746,0.233258379,0.207334218,0.074866504,0.089822953,0.063910612,0.681905815,0.433203406,0.064305145,0.50869178,0.218329805,0.1962286,0.733617425,0.817119644,0.724183217,0.314076905,0.483786439,0.343949227,0.351827666,0.425503225,0.36606284,0.336814193,0.812528827,0.27469959,0.64151642,0.188003575,0.214811118,0.202230604,0.172291184,1
TCGA-BL-A3JM-01,0.935113833,0.837706815,0.284939284,0.697423299,0.103446022,0.750506511,0.111809635,0.082551386,0.044174438,0.271306317,0.036949354,0.533195224,0.167492337,0.030517469,0.23913999,0.472396571,0.063112813,0.06409612,0.076905913,0.582963424,0.321110426,0.076099011,0.600117076,0.248153799,0.052186435,0.709857944,0.94243683,0.588906724,0.279775588,0.792701045,0.202445445,0.936378881,0.361703931,0.315119093,0.459076163,0.115168451,0.548129068,0.379268635,0.174029763,0.166587441,0.085310719,0.737775239,1
TCGA-BL-A5ZZ-01,0.962637786,0.825933427,0.018384363,0.205340793,0.125675884,0.626045823,0.337405393,0.058261144,0.0665718,0.050842523,0.041739054,0.543509815,0.082574386,0.292426552,0.248771238,0.289826619,0.122571414,0.126340084,0.086861616,0.470018953,0.261050799,0.108203453,0.571988466,0.2206084,0.403066367,0.74151756,0.709038965,0.504077827,0.200146365,0.579734869,0.49730154,0.44175952,0.47856648,0.40155364,0.268270261,0.299244134,0.280536351,0.640131526,0.426925857,0.610256256,0.202369576,0.296086182,1
TCGA-BT-A0S7-01,0.860527096,0.520424612,0.032439721,0.243125608,0.142949893,0.821755551,0.16660247,0.082632961,0.135395772,0.224235285,0.069374891,0.185422738,0.195678899,0.377645051,0.364517809,0.192833038,0.154592954,0.105131369,0.132754881,0.528816149,0.342017431,0.058409622,0.504027946,0.185353732,0.091998941,0.91277174,0.920619384,0.899044863,0.520445191,0.504574039,0.310017653,0.661939823,0.523366824,0.351478398,0.406638637,0.37639894,0.603711892,0.476471657,0.422552341,0.360897788,0.387486852,0.246840202,1
TCGA-BT-A0YX-01,0.447007194,0.838626962,0.636638365,0.620319327,0.799887297,0.325941452,0.403416773,0.137620321,0.199238683,0.291116193,0.122074227,0.207462656,0.357271042,0.267657953,0.397461648,0.364771958,0.361017547,0.17675083,0.248385495,0.3741395,0.473159399,0.099896228,0.640874382,0.533047794,0.674974273,0.86308814,0.902108455,0.78496697,0.694432317,0.576934783,0.520338392,0.504278063,0.562217411,0.416757214,0.413014596,0.509411896,0.554385062,0.824049659,0.60079421,0.43275541,0.481975998,0.370367113,2
TCGA-BT-A20J-01,0.973880525,0.664687821,0.12469017,0.701298689,0.3207057,0.702231198,0.415689487,0.145555741,0.175882079,0.298680006,0.184443746,0.306784985,0.549128223,0.184594354,0.697037448,0.520174153,0.356665972,0.394501914,0.129700696,0.419819842,0.486525459,0.256094945,0.362116195,0.544458432,0.204497177,0.802079555,0.943104172,0.835175394,0.887462788,0.751595646,0.450759937,0.652519279,0.638555205,0.46939392,0.464408798,0.603788135,0.489668548,0.448518198,0.564228163,0.458811384,0.533053382,0.466509224,2
TCGA-BT-A20N-01,0.878795772,0.798052566,0.054443237,0.403772184,0.254670684,0.846328766,0.359848229,0.125732414,0.283820822,0.258889915,0.529354241,0.183479276,0.166237293,0.330800805,0.419863459,0.245152847,0.197527045,0.085595964,0.154986754,0.67865311,0.484571091,0.127870682,0.804639473,0.281029308,0.195315073,0.852917638,0.940766092,0.688858817,0.188600208,0.458163619,0.501592498,0.477922487,0.526180685,0.321472897,0.400156124,0.609975948,0.268882823,0.714625439,0.568667603,0.37216217,0.365559265,0.241244754,1
TCGA-BT-A20O-01,0.834061943,0.777316131,0.302328134,0.585617537,0.549352779,0.587751947,0.573919972,0.169119715,0.358591071,0.649616851,0.24824182,0.484512392,1,0.435128986,0.798904919,0.608177128,0.515972626,0.335848739,0.178480106,0.629310629,0.565374099,0.328926295,0.581343442,0.775215499,0.564662678,0.823938294,0.916686356,0.96285757,0.836519611,0.798755716,0.603938508,0.86287794,0.897243709,0.554492405,0.611406632,0.959244368,0.684156585,0.794525542,0.80752169,0.582259387,0.634187515,0.631819731,1
TCGA-BT-A20P-01,0.981144646,0.861946261,0.092691722,0.887429958,0.113113932,0.88442329,0.138337764,0.070837374,0.03112612,0.280301242,0.077374605,0.852547655,0.06347532,0.588453486,0.207383504,0.092687054,0.066269095,0.046386377,0.162275475,0.057301351,0.324116676,0.059200078,0.360122054,0.123081779,0.783255715,0.829634821,0.949346309,0.122055631,0.046036869,0.357663687,0.176589471,0.572974873,0.232438372,0.659539905,0.078866143,0.882097544,0.086800653,0.12739176,0.539409715,0.22395117,0.235354928,0.042971314,1
TCGA-BT-A20Q-01,0.973012273,0.827032771,0.09116692,0.745426336,0.178126687,0.859144417,0.471497475,0.098297318,0.075019295,0.260086323,0.130639224,0.564601198,0.185290203,0.618750227,0.384008758,0.362574816,0.229166507,0.094913671,0.290783146,0.317436151,0.662023406,0.080211001,0.82115272,0.345730566,0.746571029,0.452333098,0.897166148,0.719580594,0.320685689,0.41921487,0.430495834,0.458312341,0.418267077,0.331451827,0.315365263,0.715168158,0.355680432,0.408425372,0.638943012,0.783382139,0.393594477,0.320028828,1
TCGA-BT-A20R-01,0.562342836,0.811996966,0.523507851,0.536072465,0.199620753,0.472112732,0.214429418,0.090199454,0.094980276,0.154620973,0.186474043,0.572525386,0.145907759,0.226820138,0.230294015,0.643055623,0.138127704,0.091871832,0.178876777,0.309391322,0.49875216,0.018728743,0.694505331,0.609724487,0.329778546,0.75943388,0.96066775,0.542168932,0.299076298,0.688112052,0.350518792,0.365523057,0.560152249,0.382449694,0.408011652,0.38280673,0.826306184,0.348292246,0.256372134,0.390292957,0.262542506,0.430612422,1
TCGA-BT-A20T-01,0.78360369,0.768228098,0.111442029,0.760634899,0.227406123,0.49065292,0.253650377,0.064064356,0.225272678,0.205157965,0.093885219,0.692980518,0.189388831,0.172544524,0.280167462,0.403216368,0.309783312,0.07781992,0.305662954,0.266568848,0.272247505,0.053327023,0.741434202,0.328174169,0.205550421,0.665627912,0.75491061,0.8189148,0.087670334,0.476146837,0.240006713,0.45147011,0.490307955,0.338173152,0.483733829,0.782640973,0.362150048,0.402644042,0.560140115,0.581781836,0.284130948,0.224127569,1
TCGA-BT-A20U-01,0.929453621,0.844741896,0.195506179,0.643171192,0.733785195,0.601974392,0.381728021,0.135556351,0.208958516,0.526433311,0.152176195,0.278419383,0.350154976,0.423785482,0.4257301,0.280435619,0.237424827,0.174677079,0.311994935,0.294667549,0.364671298,0.154449492,0.558605517,0.545598265,0.59228209,0.63564197,0.980811251,0.953230274,0.39565268,0.745615316,0.40541873,0.498873662,0.519134189,0.443331885,0.667591594,0.501862658,0.449017817,0.558169513,0.572051035,0.620600406,0.556335379,0.445939607,1
TCGA-BT-A20V-01,0.985613172,0.812085634,0.041120348,0.244306103,0.111821739,0.786905387,0.23922407,0.076430859,0.102762858,0.184106396,0.088298625,0.578280076,0.146821223,0.817595446,0.368648712,0.276301648,0.159774653,0.117782949,0.212367808,0.689689372,0.401074446,0.057551359,0.147738983,0.274173844,0.513432838,0.87275001,0.957991944,0.853406026,0.584551323,0.365381756,0.331642706,0.548814478,0.28676436,0.360815765,0.323003941,0.911166546,0.604792615,0.291343037,0.365044728,0.547486395,0.456725317,0.266038643,1
TCGA-BT-A20W-01,0.786035245,0.832595914,0.44349129,0.569413335,0.205277237,0.630333206,0.290892882,0.658647182,0.053989465,0.590946917,0.323380045,0.503888285,0.335443573,0.300423811,0.365085316,0.421496357,0.445581953,0.448777937,0.372713115,0.727658713,0.441388562,0.136564881,0.744310418,0.421283802,0.318096884,0.776266336,0.935711312,0.786975386,0.247447779,0.631311628,0.443860068,0.518767587,0.549712042,0.429748864,0.47527201,0.555942175,0.58664804,0.453495966,0.71211666,0.702335652,0.33824125,0.262089946,1
TCGA-BT-A20X-01,0.83894333,0.653357301,0.093836156,0.273989844,0.254711799,0.776364362,0.23851718,0.098794788,0.120310796,0.41948033,0.158260757,0.380446619,0.373497521,0.196936289,0.455060997,0.260492631,0.260637009,0.170274191,0.127041073,0.331340766,0.262816923,0.077559824,0.38073742,0.384140365,0.49745371,0.70476889,0.594848924,0.784776518,0.556081222,0.443692711,0.385837762,0.452900347,0.460299714,0.370923561,0.426085959,0.394468024,0.394524006,0.555791136,0.414318996,0.335084605,0.363474355,0.302192078,1
TCGA-BT-A2LA-01,0.812499506,0.330420368,0.034462971,0.866655562,0.027755067,0.998850451,0.045098147,0.040477687,0.006063348,0.093629548,0.013271184,0.653813033,0.043483134,0.056103278,0.310573633,0.131891377,0.000518685,0.004858043,0.18614222,0.254305596,0.139429168,0.004199625,0.541263336,0.057564065,0,0.486864354,0.813861016,0.918548312,0.229078692,0.417541961,0.090052607,0.812699176,0.403165614,0.444293162,0.079390876,0.574228553,0.089695183,0.583009764,0.233246517,0.121245906,0.147993092,0.025656436,1
TCGA-BT-A2LB-01,0.814723669,0.701183233,0.024121724,0.638978561,0.191081409,0.805611732,0.157785181,0.084714229,0.114705882,0.302574864,0.114916306,0.589048484,0.147824548,0.509187968,0.260867227,0.26263978,0.230996028,0.131626131,0.073473007,0.535049921,0.329941541,0.0718503,0.580939673,0.38962818,0.208846693,0.806945802,0.939271691,0.573003101,0.22833824,0.37591857,0.399539552,0.386046095,0.425764724,0.379759415,0.379509484,0.666142845,0.406841124,0.405906077,0.283804498,0.434022196,0.273769724,0.246432311,2
